,county_lat,county_lon,population,BA,cesm_lat,cesm_lon
0,37.05843763003871,-88.99924834763627,7594.0,MISO-0006,36.9534527354437,-89.04270509831247
1,40.84861802016794,-90.61501048776024,16222.0,MISO-0004,40.70602416306816,-90.54270509831247
2,38.70228562875416,-87.07207060068728,34209.0,MISO-0006,38.754341546566884,-87.0
3,38.19503490498715,-86.11122791507451,40437.0,MISO-0006,38.1835232275188,-86.04270509831252
4,33.46626220681624,-92.1624263491535,9828.0,MISO-8910,33.52235675103729,-92.25
5,34.0508694713165,-93.17612495436524,20938.0,MISO-8910,33.91569448235781,-93.20729490168753
6,33.89833221037926,-92.18513367029138,7224.0,MISO-8910,33.93682410263886,-92.25
7,35.74152022737198,-91.56971967901116,38785.0,MISO-8910,35.78338975945874,-91.5
8,35.59906487872282,-91.21469015343361,16741.0,MISO-8910,35.45040391073156,-91.29270509831247
9,36.341437893210184,-91.02764377649888,18876.0,MISO-8910,36.20348306080643,-90.95729490168753
10,41.02771259276868,-94.24234796585793,11829.0,MISO-0035,40.96300755773983,-94.29270509831247
11,36.59449371263976,-89.65195151618305,15086.0,MISO-0035,36.54252571217871,-89.79270509831247
12,38.64044954825674,-90.44354167744136,990911.0,MISO-0035,38.791450010504846,-90.54270509831247
13,40.45253602870694,-92.14703144217718,4796.0,MISO-0035,40.47817834160075,-92.25
14,36.855475448574765,-89.94430593539009,28284.0,MISO-0035,36.95729490168752,-90.0
15,48.29504520902543,-105.01590595199862,10242.0,MISO-0001,48.312018093782946,-104.97211225454481
16,46.22604571648197,-106.72784632745235,8253.0,MISO-0001,46.201255900966444,-106.86042708482842
17,48.36334337004365,-106.6686335361424,7385.0,MISO-0001,48.297664654745304,-106.56026208190792
18,30.290496390335846,-92.41201665580431,57032.0,MISO-8910,30.184381144616534,-92.45729490168753
19,31.076179138110046,-92.0013887125412,37941.0,MISO-8910,30.94123119296977,-92.04270509831247
20,30.64847143838066,-93.3435439203191,36673.0,MISO-8910,30.710548995880984,-93.20729490168753
21,31.44557141929549,-91.64022483621275,17836.0,MISO-8910,31.48866723603569,-91.70729490168753
22,30.538175388990407,-91.09559801188733,456180.0,MISO-8910,30.539204906005825,-90.95729490168753
23,30.258494676421517,-91.34909846064151,29579.0,MISO-8910,30.200953931458553,-91.29270509831247
24,30.0687117662893,-89.92892239008619,362154.0,MISO-8910,29.999999999999993,-90.0
25,32.09310608576332,-93.33979656133663,7165.0,MISO-8910,32.002326749570074,-93.20729490168753
26,30.129017467060436,-91.60746126964716,51106.0,MISO-8910,30.19623424308343,-91.70729490168753
27,32.713176289519936,-93.33487427499693,34948.0,MISO-8910,32.75182625195881,-93.20729490168753
28,40.76923106114744,-86.04500096108309,34487.0,MISO-0006,40.63968846779456,-86.04270509831252
29,38.02169276585031,-87.86857009056745,24988.0,MISO-0006,38.02503037818032,-87.95729490168753
30,38.01402385111303,-87.0078927879679,20061.0,MISO-0006,38.004576423832376,-87.0
31,41.330655263324694,-94.47096624418782,7403.0,MISO-0035,41.369538914271935,-94.5
32,41.89809826103087,-90.53198130553322,46002.0,MISO-0035,41.99872189950227,-90.54270509831247
33,42.38377910602068,-93.24036646576879,16455.0,MISO-0035,42.49796539003606,-93.20729490168753
34,40.6418998483993,-91.47924863916873,32306.0,MISO-0035,40.69758657455117,-91.5
35,46.93260128066551,-97.24796794475321,201794.0,MISO-0001,47.017724945445146,-97.29638051102256
