config_idx,hidden_layer_sizes,alpha,learning_rate_init,mean_rmse,std_rmse,fold_0_rmse,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,fold_6_rmse,fold_7_rmse
13,"(256, 128, 64)",0.0003032765451962616,0.0008691837985677529,332.97104694126676,53.60724334071107,314.4884635321177,288.0931982335608,301.6492977701201,330.6348162517575,301.87390967151475,337.5270223342139,320.4996312991936,469.0020364376557
12,"(256, 128, 64, 32)",0.07413766946115141,0.0004483846290786353,350.8452593888252,64.35823296990692,313.35666594505744,262.63551485360944,465.45331475598715,333.85628519290736,304.0842816171498,335.2979312493369,351.24725725025985,440.83082424629396
3,"(256, 128, 64, 32)",3.254277104330504e-05,0.0007957412573105527,352.736018436006,70.34936049134757,463.7522086846391,271.12742407539935,309.82008064851897,322.8824981877142,298.5610984939095,335.6157418909829,346.5289425899101,473.6001529169736
14,"(256, 128, 64)",3.308918125895611e-05,0.0008941489120323654,359.5892891625482,88.37588924815202,466.1285837403841,277.8074424526991,313.09446343182793,321.94057757783975,300.3870831256418,330.7358049082345,320.0464769919584,546.5738810718002
16,"(256, 128, 64, 32)",0.02141473893047776,0.0025149549152136508,375.29861995370015,81.54517061996887,465.81391950871637,285.9148703920968,305.7159163719341,330.55018481618794,307.16230042336093,503.86927404293704,340.0159714294245,463.34652264494326
5,"(128, 64, 32)",0.019545485073586322,0.0007705989229173013,375.58006356015767,80.236366093268,344.4410458506879,307.6989195994093,332.2820677219848,339.05888730906435,421.61079864097974,328.2910381692635,360.4045032497516,570.8532479401201
24,"(128, 64, 32)",0.0007662752960683008,0.0013504304218264751,394.0866941828282,71.15237400156701,464.7490851232646,298.1361779919184,326.25128226312063,326.91365533938387,345.98446048462336,454.18178894516905,456.7167014413648,479.7604018737806
21,"(128, 64)",0.004564607361960839,0.002572354133406629,420.87850044390547,56.88503360631703,464.12935326646937,427.39803562474674,472.02322624737303,454.64224723488803,354.10263131063886,347.7473821167154,351.39021168795284,495.59491606245945
7,"(128, 64)",0.020442061379532986,0.0018337021671045932,421.4430422463539,50.89863872283127,438.5639773308348,307.9911118012035,437.05762483845797,415.83365269475496,388.37059647937554,433.1342788952174,464.01044655135047,486.5826493796366
17,"(128, 64, 32)",0.00017760965289612674,0.004618698388866125,423.5405926539844,82.9011582470628,357.8531092227946,434.61393883646014,459.83007904137565,330.2248648733689,304.29771835346327,455.63647339674816,470.43960447245263,575.4289530352117
19,"(256, 128, 64)",0.005370095583865395,0.0001903290006223861,423.84441145761286,59.88549166754936,392.28137244857663,333.8878857124437,363.0393225721932,432.06341027776944,420.0742159174066,465.0946879926619,443.22923721052,541.0851595293318
9,"(256, 128, 64)",0.03736667762931513,0.003603852387684786,431.90337192754595,72.00969886430056,298.5303351350037,345.7759033452157,463.95406606449035,443.09834318263927,427.45989232106564,458.6526511250552,473.2487627970667,544.507021449831
18,"(128, 64, 32)",0.0003547427399748457,0.0003772734190269595,432.6991561044466,51.59430898979913,441.8179588506297,339.39909466235423,458.2198562682549,379.86000719197966,414.89428070466784,436.49504857236604,474.75558025962584,516.1514223256947
23,"(256, 128, 64)",3.623998360341537e-05,0.0001694572471895091,433.1673581347642,50.40232433608583,449.2541354878173,383.05268973210633,450.3652925028337,436.36128054533106,355.017964721918,467.20137674516155,397.5695597121932,526.5165656307523
15,"(128, 64)",8.084206458302165e-05,0.002185888420054086,436.4874509759438,52.77810168761214,353.3625038506012,424.70317299017955,466.79671184122,455.4741581427227,353.17584093383135,464.134474241954,463.43387762278365,510.8188681842578
6,"(128, 64, 32)",0.001653252347575385,0.0001341635410168892,440.5177853243194,61.71938641582252,425.35480735157574,394.7046837071512,420.7766722073684,393.3314577403561,425.5281716322517,409.6389650808358,459.38645603124553,595.4210688437706
1,"(256, 128, 64)",0.006158459876169436,0.00015429601005519726,441.75573404027534,51.222000993271834,436.5057756357424,375.557019827644,383.77615770850605,422.60375994927875,427.072349015172,472.61595092088345,469.7605574051198,546.1543018598559
22,"(128, 64)",0.0006849566747840917,0.001372405316892762,442.9453389492588,49.93180850630954,466.05322440679384,319.52213533489316,461.68893446764474,456.5885956885934,421.2524576291249,462.3394761408067,465.25040294527355,490.8674849809407
0,"(64, 32)",0.0005695262671673521,0.005214297905300546,443.37548845547144,58.037359176216505,477.68998473888706,435.6110391020485,372.4398858874936,458.0850425943705,343.6427791910874,464.2889720494702,451.8460105802234,543.4001935001905
20,"(256, 128, 64)",1.070160899268531e-05,0.0037484243895631324,446.85598416126527,61.36740185202579,468.4741258873179,306.1460490168595,461.3852101547292,442.81613637307055,426.5329736232466,460.460119593463,469.97666591745065,539.0565927239849
4,"(256, 128)",0.05094011902587736,0.0019396806804067653,448.9568704168033,52.50280141223114,458.73130072807095,434.00204347215004,466.11201509398165,340.0173910426665,420.0864301411573,461.6784468506147,472.51083310995205,538.5165028958337
11,"(128, 64)",4.141502885405815e-05,0.002323260488552255,453.5554415721368,41.432673829424665,476.55218749513034,432.6098238469336,475.12584712728136,463.9842725193649,353.80014436754766,464.488344518137,463.31925087941033,498.5636618232889
8,"(64, 32)",0.00026188092878568007,0.008737678255441984,460.6699478138207,31.39908181460545,467.1545371305123,431.0828133676185,460.163636998079,456.3501434999279,419.82072939480827,470.6576120417553,448.5060819562134,531.6240281216509
2,"(256, 128)",0.011080485964481503,0.0037336070725030317,463.2686615207464,30.346905940848455,480.66045417317343,429.09927308691476,466.57359374369156,451.7442350152336,419.72579899812456,470.8961440475883,462.5447972096649,524.9049958915803
10,"(256, 128, 64)",0.0007360105081983722,0.00012235100233650854,463.7735111637237,26.43576777218963,472.18331982787714,446.30343619645544,455.73744657897277,451.6813536272525,425.5017592126765,466.70795188118836,469.12039176490214,522.9524302204646
