time,MISO-0001,MISO-0027,MISO-0035,MISO-0004,MISO-0006,MISO-8910
2018-01-01 00:00:00,-28.618648330940573,-21.508392176558004,-23.554758664746544,-20.23035369837993,-18.639185638955325,-6.237637504032705
2018-01-01 01:00:00,-28.646476347500368,-21.703100633604464,-23.648225880772713,-20.34093415515443,-18.855192324490844,-6.751971825359021
2018-01-01 02:00:00,-28.78132289129283,-21.869268021163577,-23.967033272025304,-20.719164891428676,-19.01174162678504,-7.614343226560607
2018-01-01 03:00:00,-29.022784341479365,-22.131279227144006,-24.868244043386937,-21.556126399431747,-19.349680747614855,-8.85597972062726
2018-01-01 04:00:00,-28.9764498509075,-22.45058127316034,-25.269744266598423,-22.037587038122354,-19.25023977536526,-9.47797998517575
2018-01-01 05:00:00,-28.971827020957647,-22.6685343447661,-25.530817478404856,-22.313151034438448,-19.202615035333878,-10.24590927982291
2018-01-01 06:00:00,-29.28484114722599,-22.461518023539185,-25.902354535796462,-22.866983587638288,-19.37460372441086,-11.268061458120712
2018-01-01 07:00:00,-29.299260109579336,-22.165366494340503,-26.547717727339716,-24.049268496150574,-19.751969901055332,-12.655599794226873
2018-01-01 08:00:00,-29.536099545702115,-22.004031778751653,-27.044492198740954,-25.08278516654684,-20.426547654227164,-12.97300618571336
2018-01-01 09:00:00,-29.913369043575102,-22.28810449643501,-27.834657391832337,-25.83116442009498,-21.153827288096863,-14.223198788600143
2018-01-01 10:00:00,-29.592265765320974,-21.431676896299308,-28.044085991075036,-26.842208412185443,-22.669181222413016,-14.160548930235223
2018-01-01 11:00:00,-29.691685801134923,-21.421334963907498,-28.09103547153967,-27.02465184007849,-23.144763720234977,-14.217132425941202
2018-01-01 12:00:00,-29.753554033288026,-21.483356441519817,-28.11112878735986,-27.247562292206595,-23.605235833498966,-14.234539622173656
2018-01-01 13:00:00,-29.98779382676878,-21.573695875817265,-28.261030988106313,-27.525511603760123,-24.001557993748776,-14.268789604916151
2018-01-01 14:00:00,-30.027254358008662,-21.192945770080968,-28.316493054479253,-27.607810578761814,-24.045811027214995,-14.171792668977105
2018-01-01 15:00:00,-28.78958857481655,-20.808672137137023,-27.89422690704555,-27.251780945733003,-23.77627187767027,-14.20686458492861
2018-01-01 16:00:00,-28.152728549496516,-20.483618625320617,-26.844430560687073,-26.614595362067945,-23.47563462478479,-14.136576498305828
2018-01-01 17:00:00,-26.914302409206044,-20.126493314571746,-26.027504841670122,-25.999652066894186,-23.043345422746427,-13.918796978091223
2018-01-01 18:00:00,-26.364266287084945,-19.797767206489794,-25.4924649691163,-25.241068663962807,-22.647923813130944,-13.770692235631373
2018-01-01 19:00:00,-25.773155628240175,-19.60018371357748,-24.99564386442694,-24.55217844115245,-22.400906240247025,-13.622240474322098
2018-01-01 20:00:00,-25.00616939448136,-19.52921372540723,-24.61399623749392,-24.246039413864793,-22.41034564042181,-13.463084395130352
2018-01-01 21:00:00,-24.73052663321738,-19.62014526078596,-24.2556467053995,-24.006926698399838,-22.44612660605293,-13.453210529651244
2018-01-01 22:00:00,-24.675896946310644,-19.290096742448213,-24.403594884380794,-24.186985543462953,-23.01862581841607,-13.696893566322899
2018-01-01 23:00:00,-24.990449400776782,-19.250903745213606,-24.855320292564045,-24.41370483008106,-23.630000941184505,-13.71877491244851
2018-01-02 00:00:00,-25.071713254170135,-19.14626359218846,-24.76840388323157,-24.27326594351692,-23.735817828492088,-13.67983620013024
2018-01-02 01:00:00,-25.367595814235727,-19.14198290784222,-24.894095399429006,-24.44272697736011,-24.064208371022744,-13.68445348618775
2018-01-02 02:00:00,-25.69485745999262,-19.031715283417526,-25.085840858394647,-24.59061469184681,-24.409668605129525,-13.707676864939003
2018-01-02 03:00:00,-25.663634888228415,-18.945843266214496,-25.425037207220782,-24.906643206474257,-24.80081347361164,-13.88544343183031
2018-01-02 04:00:00,-25.726372328219014,-18.937808225049736,-25.598027045850927,-25.08269621667074,-25.126484144750805,-13.917823105809362
2018-01-02 05:00:00,-25.77499440333611,-18.691733125573904,-25.621476565450934,-25.13937849827812,-25.25935940115599,-14.276709013508253
2018-01-02 06:00:00,-25.969111672263438,-18.788664395625204,-25.635497838579568,-25.059521334877132,-25.34175035107023,-14.365871154422393
2018-01-02 07:00:00,-26.08421094454161,-18.718953913463196,-26.107584673888965,-25.548135682012145,-25.48482731515901,-14.835745780345519
2018-01-02 08:00:00,-25.7897901664673,-18.57024043326888,-26.23951507047198,-25.802044134521026,-25.81472001719797,-15.137863877794928
2018-01-02 09:00:00,-25.910868712543675,-18.561234682162308,-26.48571162300587,-25.806096058749176,-25.909466522127815,-15.481129067458085
2018-01-02 10:00:00,-26.402509359969116,-18.420000859881327,-26.343913098293484,-26.215995696068347,-26.94533846632791,-14.836433052465907
2018-01-02 11:00:00,-26.513985899237525,-18.330896428912922,-26.314947568602093,-26.246575931676688,-26.745613277176943,-14.819900517565088
2018-01-02 12:00:00,-26.844263462437482,-18.26579423812356,-26.43383672467843,-26.233417647706545,-26.45656942291356,-14.872744276130334
2018-01-02 13:00:00,-26.905820068766218,-18.268097761376765,-26.442269047609045,-26.285155032740278,-26.513424435118708,-14.904618632310928
2018-01-02 14:00:00,-26.358368119618405,-18.05818767877554,-25.87107814620279,-25.83442759806539,-26.054267791109368,-14.748666771040519
2018-01-02 15:00:00,-23.991698585326787,-17.696464323600253,-23.975907359508454,-23.983623498509616,-24.57781445041374,-14.254145532252721
2018-01-02 16:00:00,-22.43715684041902,-17.427216672225228,-22.778420902704624,-23.189631725667653,-23.579552501805495,-14.05940599630651
