unit_id,LRZ,capacity_mw,energy_storage_capacity_mwh,thermal_derate_name,thermal_for_profile_name,solar_profile_name,wind_profile_name
MISO_01_FuelOil_068,01,1.0,0.0,,MISO_01_CT_099,,
MISO_01_FuelOil_069,01,7.4,0.0,,MISO_01_CT_103,,
MISO_01_FuelOil_070,01,17.0,0.0,,MISO_01_CT_104,,
MISO_01_NaturalGas_071,01,1229.9,0.0,MISO_01_Natural_Gas_Fired_Combined_Cycle_RC_027,MISO_01_CC_061,,
MISO_01_NaturalGas_072,01,65.5,0.0,MISO_01_Natural_Gas_Fired_Combined_Cycle_RC_028,MISO_01_CC_063,,
MISO_01_NaturalGas_073,01,283.5,0.0,MISO_01_Natural_Gas_Fired_Combined_Cycle_RC_033,MISO_01_CC_072,,
MISO_01_NaturalGas_074,01,324.8,0.0,MISO_01_Natural_Gas_Fired_Combined_Cycle_RC_034,MISO_01_CC_073,,
MISO_01_NaturalGas_075,01,73.4,0.0,MISO_01_Natural_Gas_Fired_Combined_Cycle_RC_039,MISO_01_CC_080,,
MISO_01_NaturalGas_076,01,334.5,0.0,MISO_01_Natural_Gas_Fired_Combined_Cycle_RC_040,MISO_01_CC_081,,
MISO_01_NaturalGas_078,01,50.0,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_004,MISO_01_CT_008,,
MISO_01_NaturalGas_079,01,83.7,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_013,MISO_01_CT_020,,
MISO_01_NaturalGas_080,01,176.4,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_015,MISO_01_CT_022,,
MISO_01_NaturalGas_082,01,23.3,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_019,MISO_01_CT_032,,
MISO_01_NaturalGas_083,01,169.2,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_021,MISO_01_CT_048,,
MISO_01_NaturalGas_084,01,191.3,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_024,MISO_01_CT_053,,
MISO_01_NaturalGas_085,01,71.0,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_025,MISO_01_CT_058,,
MISO_01_NaturalGas_086,01,21.0,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_027,MISO_01_CT_061,,
MISO_01_NaturalGas_087,01,25.0,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_028,MISO_01_CT_063,,
MISO_01_NaturalGas_088,01,60.4,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_030,MISO_01_CT_066,,
MISO_01_NaturalGas_089,01,249.1,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_032,MISO_01_CT_070,,
MISO_01_NaturalGas_090,01,280.79999999999995,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_033,MISO_01_CT_072,,
MISO_01_NaturalGas_091,01,238.0,0.0,MISO_01_Natural_Gas_Fired_Combustion_Turbine_RC_034,MISO_01_CT_073,,
